temperature,humidity,ambient_light,soil_moisture,ethylene_ppb,CO2_ppm
30.84,85.01,2151.2,38.29,1.74,764.73
24.73,45.21,1033.93,37.02,2.88,668.65
29.22,72.57,6491.18,22.13,2.76,563.38
24.19,56.65,4748.49,22.33,4.48,613.04
32.0,44.47,4938.98,33.44,3.73,528.76
15.08,39.56,3017.97,34.31,2.01,667.71
29.7,49.15,2515.31,38.38,2.19,490.09
28.68,46.65,8587.03,22.8,4.69,569.54
33.42,49.5,7490.76,15.47,3.39,499.45
19.19,47.82,6062.01,22.44,4.51,465.09
21.94,37.01,3431.62,26.91,0.86,700.17
23.3,34.47,8270.34,16.14,1.81,381.31
24.46,78.78,5127.17,37.93,1.56,565.36
31.21,83.12,7330.48,29.88,4.82,695.28
20.2,40.22,4010.05,32.64,3.2,612.5
22.98,86.69,5991.22,22.28,3.75,748.17
30.38,38.1,2761.44,38.83,1.5,780.13
30.99,68.04,2530.6,24.67,1.01,663.51
23.39,38.84,2363.37,24.61,1.71,505.6
18.83,71.63,2520.16,33.61,2.15,323.51
26.57,35.9,4482.2,34.33,4.86,365.63
28.03,75.02,7883.97,39.06,4.56,791.3
17.66,63.71,3272.78,22.47,4.16,363.99
30.43,82.12,9333.25,25.19,3.46,386.25
21.87,33.2,3407.02,31.65,4.02,623.22
27.45,40.69,5333.74,29.22,1.62,493.16
28.01,72.89,3561.4,29.86,3.79,665.05
15.1,38.26,6783.79,19.56,2.69,742.59
15.85,53.45,5789.87,13.12,3.44,644.69
17.61,72.11,4865.18,20.24,3.4,409.58
32.64,40.37,3860.0,29.1,1.48,651.18
27.4,68.57,8167.88,36.63,2.61,596.69
34.63,43.24,9830.01,38.03,3.54,777.38
29.56,45.64,5651.39,12.14,2.48,635.77
30.72,45.6,4087.76,12.06,1.78,411.1
17.0,57.05,3184.45,38.25,4.53,463.85
27.41,31.41,7077.38,29.2,4.32,660.25
31.72,83.02,1407.22,37.9,3.78,617.98
33.41,67.37,1235.05,34.17,0.82,661.15
25.37,84.83,2479.2,26.41,4.85,391.56
